botanicalName,landscapeCategory,commonName,,family,origin,,shape,size,growthRate,,,landscapeUses,lightRequirements,soilNeeds,waterNeeds,sunsetZone,usdaZone,hardyTo,,flowerInfo,fruitInfo,,,pruningNeeds,,,Notes,Picture,,,,,,,,,,,,,
Trachelospermum jasminoides,Vine,"Confederate jasmine, star jasmine, Confederate jessamine, Chinese star jessamine",,Apocynaceae,"Eastern and southeastern Asia, including Japan, Korea, southern China, and Vietnam.",,Evergreen,,,,,"Can grow up to 20 feet tall (as a vine). Moderate growth rate, can reach 18 to 20 feet tall with support.",Moderate,,"Shiny, oval, dark green leaves.","Vine, sprawling shrub, or ground cover.",Full sun to partial shade. At least 6 hours of direct sunlight daily for optimal flowering. Afternoon shade in hotter climates.,"Fertile, well-drained soil. Tolerates average soils. Slightly acidic to neutral pH (around 6.0–7.5).",,,,,,"Clusters of sweetly fragrant, starry, creamy white flowers in late spring, with sporadic blooming throughout the summer. Attractive to bees.",,,,Prune in early spring.,Generally disease-resistant and deer-resistant.,Native to eastern and southeastern Asia.,"Not a ""true jasmine."" Genus name means ""neck seed."" Not toxic to pets or humans, but stems exude a white sticky sap that may cause skin irritation.",,,,,,,,,,
Ligustrum japonicum 'Texanum',Shrub,Waxleaf Privet,,Oleaceae,"Cultivar of *Ligustrum japonicum*, which is native to central and southern Japan and Korea.",,Evergreen,,,,,Dense,"Thick, rounded, waxy, glossy dark green leaves.","Hedges, can be trained into various shapes.",Sun or light shade.,(Not specified),Regular to occasional watering.,,,,,,,,,,,"""Waxleaf Privet"" can also refer to other species like *Ligustrum lucidum* and *Ligustrum quihoui*.",,,,,,,,,,,,,
Buddleja davidii,Shrub,"Butterfly-bush, orange eye, summer lilac",,Scrophulariaceae,"Most of China, excluding the far northeast.",,Vigorous shrub with arching branches and lanceolate leaves.,,,,,Ornamental plant. Nectar source for many butterfly species.,"Full sun, at least 6-8 hours of direct sunlight daily.","Well-drained soil. Can tolerate poor soil, but performs best in moderately fertile, loamy soil.","Water freely when actively growing, sparingly otherwise. Drought-tolerant once established.",,10-May,Frost-hardy,,,,,,"Essential to maintain shape, encourage new growth, and promote abundant flowering. Prune in early spring (buds swelling, April/May). Deadhead spent flower spikes to encourage new blooms and prevent self-seeding.",,,,,,,,,,,,,,,,,
Berberis thunbergii 'Rose Glow',Shrub,'Rose Glow' Japanese barberry,,Berberidaceae,"Cultivar of *Berberis thunbergii*, which is native to Japan.",,Small,,,,,,"Leaves are deep rose-red, mottled with tones of white and pink. Deeply grooved, brown, spiny branches.","Planted in beds, borders, or used as a screen or hedge.",Full sun.,(Not specified),(Not specified),,,,,,,"Deeply grooved, brown, spiny branches.",,,,(Not specified),,Received the Royal Horticultural Society's Award of Garden Merit.,,,,,,,,,,,
Campsis radicans,Vine,"Trumpet vine, yellow trumpet vine, trumpet creeper, cow-itch vine, hummingbird vine",,Bignoniaceae,Eastern North America,,Vigorous,,,,,,"Leaves are emerald green when new, maturing to a shiny dark green. Bark is tan and shreds easily.","Attracts Ruby-throated Hummingbirds, bees, and butterflies. Useful for erosion control.","Full sun, requiring at least six hours of direct sunlight daily. Can tolerate partial shade, but flowering will be reduced.","Adaptable to various soil types, including clay, sand, and poor soils, but prefers well-draining, moderately fertile, and moist soil.","Water regularly during establishment. Drought-tolerant once mature, but performs better if watered during dry spells.",,,,,,,Aerial rootlets and twining stems (for climbing).,,,,"Can be an aggressive colonizer. Foliage can cause skin redness and itching in some people. Slightly toxic if ingested. Genus name ""Campsis"" from Greek for ""bent."" Species epithet ""radicans"" is Latin for ""producing roots.""",,,,,,,,,,,,,
Woodwardia fimbriata,Fern,Giant chain fern,,Blechnaceae,"Western North America, from British Columbia through California (including the Sierra Nevada) into Baja California.",,Evergreen perennial fern. Large fronds.,,,,,Partially shaded.,"Moist, adequate soil drainage. Acidic or neutral soil.",Requires moisture. Can tolerate extended periods without irrigation by tapping into latent soil moisture.,,,Tolerates extended periods without irrigation.,"(Ferns do not have flowers or fruit. Reproduces via spores, sori arranged in chain-like pattern.)",,,,,,Considered the most spectacular of California's native ferns. Used by native tribes for basket making and medicinal purposes. Received the Royal Horticultural Society's Award of Garden Merit.,,,,,,,,,,,,,,,,,
Polystichum munitum,Fern,Western swordfern,,Dryopteridaceae,"Western North America, Mexico",,Evergreen perennial fern. Fronds grow in a tight clump,,,,,Bipinnately compound fronds with a leathery texture. chain-like sori. Pinnae have serrated edges with bristly tips.,Ornamental foliage used by florists.,Understory of moist coniferous woodlands. (Prefers shade).,Well-drained acidic soil with rich humus and small stones.,"Requires consistent moisture and cool weather. Resilient to occasional droughts, can be drought-tolerant once established.",,,,,,,,Natural threats include soil erosion and competition from invasive species.,,,,,,,,,,,,,,,,,
Olea europaea,Subtropical evergreen tree or shrub.,Olive,,Oleaceae,"Mediterranean Europe, Asia, and Africa.",,Short,,,,,"Valued for fruit, olive oil production, ornamental.",Full sun exposure.,"Well-drained, fertile soil that is slightly acidic to neutral, with a pH range of 6.5 to 8.5. Can tolerate various soil types from sandy to silty clay loams.",Drought-tolerant once established. Consistent watering during their first one to two years is crucial. Deep but infrequent watering for established trees.,,,,,,,,,"Pruning is best done in late winter or early spring to open the canopy, remove dead or diseased branches, and encourage new fruiting wood.",,,,,,,,,,,,,,,,,
Nandina domestica,Shrub,"Nandina, heavenly bamboo, sacred bamboo",,Berberidaceae,"Eastern Asia, ranging from the Himalayas to Japan.",,Evergreen or semi-evergreen shrub.,,,,, turns soft green in summer, then red/burgundy/purple in autumn.,Ornamental plant.,Full sun to part shade. Full sun generally leads to the most vibrant foliage color and abundant berry production.,"Well-drained soil that is slightly acidic to neutral (pH 6.0-7.5). Adaptable to various soil types, but thrives in loose, fertile, loamy soil.","Water regularly and deeply during the first growing season. Moderately drought-tolerant once established, requiring water mainly during prolonged dry spells.",,,,,,,,,,,Native to eastern Asia.,Not a true bamboo. Berries are toxic to birds and other animals if ingested. All parts are poisonous. Considered an invasive species in several US states. Historically used to carve charms and for fire prevention beliefs. Consider non-fruiting or low-fruiting cultivars to mitigate risks.,,,,,,,,,,,,
Centaurea gymnocarpa,Perennial, Dusty Miller.,,Asteraceae,"Capraia, Italy",,Herbaceous perennial. Can be used in borders,,,,,Silvery-gray foliage (for horticultural 'Dusty Miller').,"Horticultural: Borders, clumps, containers. Adds color contrast with green leafy plants. Provides nectar and pollen for bees and other pollinating insects.","Horticultural: Full sun exposure and bright, direct sunlight.","Horticultural: Requires well-drained soil and can even grow in poor, dry conditions. Loamy soil preferred. Resistant to salinity.","Horticultural: Water sparingly, allowing the soil to dry out almost completely between waterings. Drought-resistant.",,,,,,,,,,,,"True species: Capraia, Italy. Horticultural: Widely cultivated.",True *Centaurea gymnocarpa* is rare and endangered. The plant commonly cultivated as *Centaurea gymnocarpa* is likely *Centaurea cineraria*. Genus *Centaurea* comprises over 700 species.,,,,,,,,,,,,
Ceratonia siliqua,Evergreen tree or shrub.,Carob tree,,Fabaceae,Mediterranean region and the Middle East.,,Flowering evergreen tree or shrub. Broad hemispherical crown.,,,,, sturdy branches. Leaves are alternate, pinnate, 10-20 cm long, with dark green leaflets.,Widely cultivated for its edible fruit. Ornamental tree in gardens and landscapes.,(Not specified),(Not specified),,,,,,"Most carob trees are dioecious (separate male and female plants), though some are hermaphroditic. Male flowers have a distinctive odor.",,,,,(Not specified),Native to the Mediterranean region and the Middle East. Well-adapted to warm temperate and subtropical areas.,"Spain is the largest producer of carob. Carat unit of mass named after carob seed. Carob pods used as chocolate alternative, locust bean gum as thickening agent. Used as animal feed. Carob wood used as firewood.",,,,,,,,,,
Heteromeles arbutifolia,Shrub,"Toyon, California holly, Christmas berry",,Rosaceae,"Coastal California and northern Baja California, extending into Oregon.",,Perennial shrub,,,,,Leathery, oblong leaves (5–10 cm long, 2–4 cm wide), evergreen, alternate, and sharply toothed.,Cultivated in domestic gardens. Suitable for xeriscape gardening.,,,,,,,,,,"Bright red, pea-sized pomes (berry-like) that mature in the fall and persist into winter. Edible (acidic and astringent), but contains small amounts of cyanogenic glycosides.",Gray bark.,,,,(Not specified),"Native to Coastal California and northern Baja California, extending into Oregon. Thrives in chaparral, oak woodland, and coastal scrub plant communities.","Sole species in the genus *Heteromeles*. Genus name means ""different apple."" Specific epithet ""arbutifolia"" indicates leaves similar to European Strawberry Tree. Once classified under *Photinia*. Fruit consumed by birds and mammals. Used by indigenous tribes for food and medicine. Official native plant of Los Angeles.",,,,,,
Abelia x grandiflora,Shrub,Glossy abelia,,Caprifoliaceae,"First raised in 1886 at the Rovelli nursery in Pallanza (now Verbania), on Lake Maggiore in Italy. ",, Clade: Tracheophytes,,,,, Family: Caprifoliaceae, Genus: Abelia, Species: A. × grandiflora.,Deciduous or semi-evergreen multistemmed shrub with rounded, spreading, or gracefully arching branches.,1 to 1.8 m (3.3 to 5.9 ft) tall. Can reach an ultimate height and spread of 2.5–4 meters over 10–20 years.,,,,,,"Moist, organically rich soils with good drainage.",,,,,"Drought-tolerant, erosion-tolerant, deer-resistant, and resistant to Phytophthora root rot.","Clusters of pale pink, slightly fragrant, funnel-shaped flowers. Blooms from late summer to well into the autumn.",,,Resistant to Phytophthora root rot.,,"Hybrid species. Genus name honors Dr. Clark Abel. Specific epithet ""grandiflora"" means ""large-flowered."" Molecular phylogenetic studies suggest it might be merged into *Linnaea*.",,,,,,
Heuchera sanguinea,Perennial,Coral bells,,Saxifragaceae,"US states of Arizona and New Mexico, and to northern Mexico.",,Herbaceous,,,,,Leaves are rounded to heart-shaped, sometimes ruffled or lobed, and can range from glossy green to deep burgundy.,Attracts bees and hummingbirds.,"Indirect bright light or partial shade. In warmer climates, partial afternoon shade is recommended. In cooler northern climates, it can tolerate full sun.","Well-draining loam soil with a slightly acidic to neutral pH, ideally between 6.0 and 7.0.",Keep the soil consistently moist but not waterlogged. Water when the soil partially dries out. Drought-tolerant once established but prefers consistently moist conditions.,,,,,,,,,,"Primarily found on cliffs, hills, and alpine areas.","Latin specific epithet ""sanguinea"" means blood-red.",,,,,,,,,,,,
Canna spp.,Perennial,"Canna, canna lily",,Cannaceae,Native to tropical and subtropical regions of the Americas and Asia.,,Flowering plants.,,,,,"Well-drained, rich, or sandy soil.",Moderate water.,,8b,-10 °C (14 °F) (USDA Zone 8b).,Implies good tolerance to moisture if grown in water gardens.,"(Not detailed, but known as flowering plants)",,,,,,Tropical and subtropical regions of the Americas and Asia.,,,,,,,,,,,,,,,,,
Arctostaphylos 'Emerald Carpet',Shrub,'Emerald Carpet' Manzanita,,Ericaceae,"Cultivar. Collected by Percy Everett in the 1960s, presumed hybrid between *Arctostaphylos nummularia* and *A. uva-ursi*. Named by Lee Lenz and introduced by Saratoga Horticultural Foundation in 1979.",,Low-growing,,,,,,Small, glossy, deep green leaves. Attractive cinnamon-red stems with exfoliating bark.,"Groundcover, non-walkable lawn substitute.","(Not specified, but generally full sun to light shade for manzanitas)","Rich, slightly acidic, loamy, and well-draining soil.",,,,,,Red fruit (flowering is somewhat sparse).,,,,,Less prone to leaf spots and dieback than other manzanitas when planted in heavier soils with regular irrigation.,"(Not specified, but originated in California horticulture)",Favored by landscapers.,,,,,,,,,,
Caryopteris x clandonensis,Shrub,"Bluebeard, blue spirea, blue mist",,Lamiaceae,Hybrid cross between *C. incana* and *C. mongholica*.,,Low-mounded,,,,,Grey-green or silvery-gray leaves that are aromatic when bruised.,"Xeriscaping. Attracts butterflies, bees, and other beneficial insects.",Full sun. Partial shade is acceptable in very hot climates but can reduce compactness.,"Well-draining, sandy or loose loamy soil. Intolerant of wet, poorly-drained soils.",Can tolerate some drought.,,7-May,,,,,,,,,,,,,,,,,,,,,,,
Ceratostigma plumbaginoides,Perennial,"Hardy blue-flowered leadwort, plumbago, leadwort, blue snow-flower",,Plumbaginaceae,China,,Wiry,,,,,Mat-forming,"Shiny, medium green leaves, turning bronze-red in autumn.",Ground cover. Inhibits weed growth.,(Not specified),(Not specified),(Not specified),,,,,,,Rhizomes (spreads by rhizomes).,,,,"Genus name from Greek words meaning ""horn"" and ""stigma."" Specific epithet ""plumbaginoides"" means ""like Plumbago."" Flowers resemble those of woodland phlox.",,,,,,,,,,,,,
Feijoa sellowiana,Evergreen shrub or small tree.,Pineapple guava,,Myrtaceae,"Highlands of Colombia, southern Brazil, northeast Uruguay, eastern Paraguay, and northern Argentina.",,Evergreen shrub or small tree.,,,,,Widely cultivated as an ornamental tree and for its fruit.,(Not specified),(Not specified),(Not specified),,,Frost-tolerant,,,,,,,,,,Also known as *Acca sellowiana*. Fruit prone to bruising and has a relatively short shelf life. Raw feijoa is a rich source of vitamin C. Fruit pulp used in some natural cosmetic products as an exfoliant. Distinctive aroma due to methyl benzoate.,,,,,,,,,,,,,
Teucrium fruticans,Shrub,"Tree germander, shrubby germander",,Lamiaceae,Western and central Mediterranean region.,,Spreading evergreen shrub.,,,,, glossy aromatic leaves.,,Full sun.,Neutral or alkaline soil.,(Not specified),,,,,,,,(Not specified),,,,,,,,,,,,,,,,,
Laurus nobilis,Tree,"Bay laurel, bay tree, sweet bay, true laurel, Grecian laurel",,Lauraceae,Mediterranean region,, Clade: Tracheophytes,,,,, Family: Lauraceae, Genus: Laurus, Species: L. nobilis.,Aromatic evergreen tree or large shrub. Varies in size, sometimes reaching 7–18 m (23–59 ft) tall. Dioecious.,7–18 m (23–59 ft) tall. Can grow up to 20 meters (60 feet) tall.,Slow,,,,,, elliptic to oval,,,,(Not specified),(Not specified),,,,"Pale yellow-green flowers, about 1 cm in diameter, grow in pairs beside a leaf.","Small, shiny black drupe-like berry about 1 cm long, containing one seed.",,Often pruned for garden purposes.,Pests include the jumping plant louse *Trioza alacris* and the scale insect *Coccus hesperidum*.,Native to the Mediterranean region.,"Symbol of high status, victory, immortality, purification. Source of words like ""baccalaureate."" Chemical constituents include 1,8-cineole (eucalyptol). Used in herbal medicine. Laurel oil is an ingredient in Aleppo soap.",,
Lagerstroemia indica,Tree,"Crape myrtle (crepe myrtle, crêpe myrtle, or crepeflower)",,Lythraceae,"China. Native to subtropical regions of the Himalayas, southern China, mainland Southeast Asia, the Philippines, and Japan.",,Often multi-stemmed,,,,,Up to 6 m tall and wide.,,,Leaves are small, smooth-edged, circular or oval-shaped, and dark green,,,,,, mottled,,,,Prefers full sun and good drainage.,"Drought-hardy once established, benefiting from occasional deep watering in summer.",,10-Jun,Root hardy to Zone 5.,Drought-hardy once established.,"White, pink, mauve, purple, or carmine with crimped petals, in panicles up to 9 cm. Flowers give way to 6-capsuled, brown dehiscent fruits. Requires hot summers to flower successfully.","6-capsuled, brown dehiscent fruits.","Bark is thin (about 2 mm thick), smooth, pinkish-gray, mottled, and sheds annually.","(Not specified, but root hardy to Zone 5)","The practice of severely pruning crape myrtles in winter is colloquially known as ""crape murder"" and is not recommended by many arboricultural organizations.","Mildew, fungal diseases (like *Cercospora lythracearum*), crape myrtle aphids, Japanese beetles, and flea beetles.","Native to subtropical regions of the Himalayas, southern China, mainland Southeast Asia, the Philippines, and Japan. Widely cultivated in the US (South Atlantic and Mid-Atlantic states, Southern California, Arizona, Nevada), and Australia.","Genus name honors Magnus von Lagerstroem. Species epithet ""indica"" refers to its origin in India. Common name ""crape myrtle"" from crepe paper-like petals."
Cedrus deodara,Tree,"Deodar cedar, Himalayan cedar, deodar",,Pinaceae,"Himalayas (East-Afghanistan, South Western Tibet, Western Nepal, Northern Pakistan, and North-Central India).",,Large evergreen coniferous tree. Conic crown with level branches and drooping branchlets.,,,,, 2.5–5 centimeters (1–2 inches) long, bright green to glaucous blue-green.,Urban landscaping. Valued as a building material due to durability and rot-resistant nature.,(Not specified),(Not specified),(Not specified),,,,,,,"(Not specified, but used as a building material)",,,,"Himalayas, at altitudes of 1,500–3,200 meters (5,000–10,000 feet).","""Deodar"" from Sanskrit ""devadāru"" meaning ""wood of the gods."" National tree of Pakistan and state tree of Himachal Pradesh, India. Aromatic inner wood used in Ayurvedic medicine and for incense. Essential oil acts as an insect repellent and has antifungal properties. Historically used for building temples, barracks, bridges, etc.",,,,,,,,,,,,
Rosa spp.,Shrub,Rose,,Rosaceae,"Earliest known cultivation dating back to at least 500 BC in Mediterranean countries, Persia, and China.",,Deciduous shrub (most common for cultivated roses).,,,,,Ornamental (for aesthetic appeal). Used for rose hips, ground cover," hedging.""","(Not specified, but generally full sun for most roses)","(Not specified, but generally well-drained, fertile soil for most roses)","(Not specified, but generally consistent moisture for most roses)",,,,,,,"(Not specified, but *Rosa multiflora* is used as rootstock)",,,,"Estimated 30 to 35 thousand rose hybrids and cultivars. Empress Josephine of France supported rose breeding. Rose oil (attar of roses) produced by steam distillation of petals. Rose water used in cooking, cosmetics, medicine, religious practices.",,,,,,,,,,,,,
Dahlia spp.,Perennial,Dahlia,,Asteraceae,"Cultivated by Aztecs before 1798. Native to Central Mexico, Yucatan, and Guatemala.",,Herbaceous perennials.,,,,,Plenty of sunlight.,Rich soil with a pH of around 6.5–7.5 and sufficient organic matter.,Consistent moisture. Thrive in well-watered conditions.,,8,"Tubers are hardy to USDA Zone 8 (no frost). In temperate climates with frost, tubers should be dug up and stored.","Can survive a light frost, but colder temperatures will prevent them from thriving.",,,,,,"Native to Central Mexico, Yucatan, and Guatemala. Widely cultivated.",,,,,,,,,,,,,,,,,
Calocedrus decurrens,Tree,"California incense cedar, incense cedar",,Cupressaceae,"Western North America (central-southwestern Oregon through most of California and into extreme western Nevada, as well as northern Baja California, Mexico).",,Coniferous tree. Young trees have a broad conic crown of spreading branches. Cultivated as an ornamental with a very narrow columnar crown.,,,,, weathering to grayish, becoming fissured and exfoliates in long strips on older trees.,Popular ornamental tree. Cultivated in gardens and parks.,(Not specified),(Not specified),Drought tolerant.,,,,,,,"Bark is initially smooth and orange-brown, weathering to grayish, and on older trees, it becomes fissured and exfoliates in long strips on the lower trunk.",,,,"Western North America, at altitudes of 50–2,900 m (160–9,510 ft).","Wood is soft, light, moderately decay-resistant, and has a strong spicy-resinous fragrance. Primary material for wooden pencils. Essential oils have antimicrobial properties. Native Americans used for traditional medicine, basket making, hunting bows, building materials, and fire starting. Can live for over 500 years. Received the Royal Horticultural Society's Award of Garden Merit.",,,,,,,,,,,,
Agapanthus africanus,Perennial,African lily,,Amaryllidaceae,Native to the rocky sandstone slopes of the winter rainfall fynbos from the Cape Peninsula to Swellendam in South Africa.,,Rhizomatous evergreen geophyte. Herbaceous perennial.,,,,, long, and strap-shaped leathery leaves.,"Cultivated globally, particularly in warm regions. Used in rockeries.","(Not specified, but needs hot, dry summers and winter rainfall climate)","Well-drained, slightly acidic sandy soil (for *subsp. africanus*).",Minimal summer watering (for *subsp. walshii*). Adapted to a winter rainfall climate.,,,,,,,"(Not specified, but seeds dispersed by wind).",,,,,Extracts have demonstrated antifungal properties.,Native to South Africa.,"Also known as African lily, but sometimes miscalled ""lily of the Nile."" Type species for its genus. Less suitable as a garden plant compared to *Agapanthus praecox* due to difficulty in growing. *A. africanus subsp. walshii* is classified as endangered.",,,,,,,,,,
Mahonia aquifolium,Shrub,"Oregon grape, holly-leaved barberry",,Berberidaceae,"Western North America, from British Columbia to Oregon and eastern Montana.",,Evergreen shrub.,,,,, compound pinnate leaves with 7-9 leaflets. Stiff, leathery, spine-tipped along the wavy margin. Lustrous dark green above. May turn bronze to bright red-purple in winter.,,Full sun to partial shade.,"Moist, well-drained, acidic soil.",(Not specified),,,,,,"Blue-black, bloomy berries in mid-summer.",,,,(Not specified),Native to western North America.,Contains berberine (can cause adverse effects in high doses). Genus name *Mahonia* honors Bernard McMahon.,,,,,,,,,,,
Hemerocallis spp.,Perennial,Daylily,,Asphodelaceae,"(Not specified, but generally East Asia)",, Subfamily: Hemerocallidoideae.,,,,,,Arching, strap-like leaves.,Showy flowers for ornamental purposes.,Full sun to partial shade. Flowering more prolific in full sun. Pales varieties prefer at least six hours of sun daily. Darker reds and purples might need less.,"Adaptable to a range of climatic conditions and most soil types, but prefer well-drained soil that is rich in organic matter with a pH between 6 and 7.","During bloom, require consistently moist soil. Drought-tolerant. Overhead irrigation can mottle or ""melt"" blooms.",,,,,,,,,,,Not true lilies. Long-lived perennials. The most common propagation is by root or bulb division.,,,,,,,,,,,,
